title,function,industries,cluster
senior communication manager,"marketing, public relations, and writing/editing","är du en driven och serviceinriktad person med gedigen erfarenhet av kommunikation? vi letar efter en kommunikationsansvarig som är passionerad inom storytelling, kommunikation och marknadsföring. vår målgrupp inkluderar b2b och g2g.på saab blickar vi ständigt framåt och utmanar gränserna för vad som är tekniskt möjligt. vi samarbetar med kollegor runt om i världen som alla delar vår utmaning – att göra världen till en säkrare plats.din rollsom senior communication manager ansvarar och supporterar du för olika typer av kampanjer, både nationella och internationella. du kommer att bidra med senior kommunikationssupport till affärsenheterna och jobba i nära samarbete med saabs centrala funktioner exempelvis presscentre, editorial och brand. du blir en del av kockums kommunikationsavdelning, med placering i malmö eller karlskrona, och rapporterar till head of kockums communication. i rollen kan tjänsteresor förekomma både inom sverige och utomlands.dina arbetsuppgifter kommer bl.a. innebära:paketera budskap för media och andra intressenterstötta ledare i kommunikationssammanhangsupportera affärsenheterna som kommunikationsrådgivareskapa marknadsföringskampanjerproducera och publicera material för olika kommunikationskanalerdriva och inspirera kommunikation för att supportera organisationen.din profilför att passa till rollen är du handlingsinriktad och har ett eget driv. du har en god analytisk förmåga och en hög flexibilitet att hantera och agera på olika situationer som uppstår. vi ser gärna att du är prestigelös och en god lagspelare med ett serviceinriktat och lösningsorienterat förhållningssätt. du har erfarenhet av strategisk och operativt arbete kopplat till kommunikation. du har förmågan att analysera marknadskommunikation och, utifrån ekonomiska ramar, prioritera rätt.vi söker dig som har en relevant akademisk utbildning och 10+ års erfarenhet inom området. du behärskar svenska flytande i tal och skrift.befattningen kräver att du genomgår och godkänns enligt vid var tid gällande bestämmelser för säkerhetsskydd. för befattningar där saab har krav på säkerhetsklassinplacering kan, i förekommande fall, medföra krav på visst medborgarskap.vad du blir en del av saab är ett ledande försvars- och säkerhetsföretag med uppdrag att hjälpa nationer att skydda sin befolkning och bidrar till trygghet för människor och samhällen. med 19 000 talangfulla medarbetare utvecklar saab teknik och lösningar för en säkrare, mer hållbar och mer rättvis värld. läs mer om oss härinom affärsområdet kockums har vi lång och gedigen erfarenhet av att tillhandahålla avancerade farkoster och plattformar för den navala domänen. på och under havsytan. med unik kompetens och några av världens förnämaste varvsanläggningar, är kockums världsledande vad gäller utveckling, byggnation och fortlöpande underhåll och uppgraderingar av ubåtar, ytstridsfartyg och andra navala system. utbudet av produkter ger förmågor för informationsinhämtning, övervakning, ytstrid, ubåtsjakt, minjakt samt uppdrag på havsbotten. mångsidighet, flexibilitet och hög tillgänglighet är egenskaper som karakteriserar samtliga våra produkter. om du är intresserad av vilka förmåner som du kan ta del av som anställd på saab i sverige, kan du läsa om dem härvänligen observera att vi arbetar med löpande urval och att tjänsten kan komma att tillsättas innan sista ansökningsdatum har gått ut.vi ser fram emot din ansökan!saab är stolt karriärföretag 2023 - läs mera härvill du vara en del av att skapa framtidens teknologi samtidigt som du får möjlighet att utveckla dig själv och växa i en lärandekultur så är saab arbetsgivaren för dig. vi är stolta över vår kreativa miljö där alla är olika, men delar samma uppdrag – att bidra till ett tryggare samhälle.           show more                     show less",5
"director channel sales, kolding or cph.",sales and business development,"green hydrogen systems is driving the green transition where hydrogen plays a key role in securing a more sustainable future. we support our customers in accelerating the green energy transition and industrial decarbonization based on our innovative technology in the green hydrogen and power-to-x industries.we are only 2 years past our ipo, and we are in the middle of an exciting scale-up journey, aiming towards reaching +1 billion dkk in revenue by 2026. reaching this goal require strong cross-functional collaboration and commitment. the commercial organization is playing a pivotal role in expanding sales and partnerships.ghs is a pure oem and life-time service provider targeting a multitude of electrolysis projects with sizes anywhere from 1 to 100mw plus. standard offerings are typically characterized by project sizes of 1-18mw, sales through local/regional integrators, order values in the 2-20 meur and sales cycles of 6-18months. large projects are characterized by size 20-100mw plus, customization, sales through leading project developers, energy players or epc companies and order values in the 20-100 meur range.primary responsibilities:in the position as director, channel sales, you will be responsible for building and executing a channel sales strategy covering our standard offering in our core markets.you will report to vice president, sales & marketing and work closely with the rest of the commercial organization as well as colleagues across departments.· develop and implement a channel partner strategy, expanding our market presence and driving revenue growth.· build comprehensive channel program offering.· identify, evaluate, and recruit potential reseller partners, building a high-performing network.· cultivate and maintain strong relationships with channel partners, serving as the main point of contact for all business-related matters.· provide guidance and support to reseller partners to ensure they are effectively promoting and selling the product offering.· set and communicate sales targets and performance goals to reseller partners, closely monitoring their progress.· collaborate with the marketing and product development teams to ensure reseller partners have up-to-date knowledge of our products, services, features, and benefits.· develop and deliver training programs and materials to enhance the product knowledge and selling.· develop market entry strategies and work closely with reseller partners to execute them effectively.· work with and develop the ghs sales process and playbook with the rest of our team.closing comments:# if you get excited about the prospects of building, shaping, and leading elements of a sales organization for a scale-up business in the green energy transition.# if you are positive, energetic, ambitious, disciplined, and willing to roll up your sleeves.# if you have hands-on experience with international channel sales, building and growing reseller partners. # if you have a commercial acumen combined with experience within contract management.……then we would like to hear from you!we offer:· a mission with a purpose. hydrogen is a mission-critical enabler of the transitioning to a co2 neutral society.· a rare opportunity to join a sizeable and well-funded scale up in the green energy transition.· a marketplace experiencing exponential growth.· a flat management structure where you will have the opportunity to influence and help shape strategy as well as execution.· lots of professional as well as personal growth opportunities· a competitive salary package that is in accordance with the nature of the position, requirements, and your background.work location:green hydrogen systems is headquartered in kolding, with a remote office in nærum, outside of copenhagen. flexible work location is offered.applicationplease note that we process the applications on an ongoing basis green hydrogen systems is committed in creating a diverse and inclusive environment and we’re proud to be an equal opportunity employer. we believe that creating a diverse and inclusive work environment is not only the right thing, but also the smart thing to do. we therefore encourage all qualified candidates to apply regardless of race, ethnicity, religion, sex, sexual orientation, age, citizenship, marital status, disability, or gender identity.           show more                     show less",5
climate data specialist,information technology,business consulting and services,5
become a sustainability advocate,legal,staffing and recruiting,5
software engineer for digital core modernization journey,information technology and engineering,it services and it consulting and financial services,5
"marketing analyst (remote, contract)",marketing and sales,"technology, information and internet",5
junior solution architect,engineering and information technology,staffing and recruiting,5
postdoc in experimental surface science and catalysis,"research, analyst, and information technology",research,5
"entrepreneur in residence (remote), denmark",other,"transportation, logistics, supply chain and storage",5
scientist,"research, analyst, and information technology",food and beverage services,5
internship in talent acquisition,human resources,software development,5
it support student assistant,information technology,"transportation, logistics, supply chain and storage",5
retail stores associate ii,customer service,retail,5
intern web developer,engineering and information technology,software development,5
"internship opportunities in our technology & innovation department for bachelor (diplomingeniør) students, lystrup or søborg","information technology, management, and project management",defense and space manufacturing and aviation and aerospace component manufacturing,5
tribe lead for reduce legacy,information technology,it services and it consulting and financial services,5
internship in wireless communication,"marketing, public relations, and writing/editing","appliances, electrical, and electronics manufacturing",5
internship in computational or experimental fluid dynamics,education and training,"appliances, electrical, and electronics manufacturing",5
tech-savvy marketing student assistant (part-time),education and training,farming,5
visiting professor,other,it services and it consulting,5
internship in digital learning & content development,education and training,"appliances, electrical, and electronics manufacturing",5
operations associate (facilities and assets),management and manufacturing,international affairs,5
it infrastructure engineer,information technology,"technology, information and internet",5
business development intern,business development and sales,staffing and recruiting,5
trainee,other,business consulting and services,5
community lead,other,staffing and recruiting,5
internship: user experience designer,"design, art/creative, and information technology",software development,5
erp specialist,information technology,"appliances, electrical, and electronics manufacturing",5
junior market analyst (remote internship – market research),marketing and sales,"transportation, logistics, supply chain and storage and internet publishing",5
growth engineer,marketing,"technology, information and internet",5
"teacher, class teacher",education and training,education administration programs,5
cloud engineer,engineering and information technology,it services and it consulting,5
custodian - evening shift,management and manufacturing,education administration programs,5
global mobility and compensation specialist,human resources,renewable energy semiconductor manufacturing,5
backend developer at subaio,engineering and information technology,staffing and recruiting,5
associate consultant – strategy & transformation,business development and sales,data infrastructure and analytics,5
cloud solution architect / denmark,engineering and information technology,it services and it consulting,5
"english language teacher in viby, denmark",education and training,education management,5
student assistant - production planning,"strategy/planning, administrative, and production","appliances, electrical, and electronics manufacturing",5
"environmental, hsec and human rights graduate programme - multinational company",engineering,"technology, information and internet",5
legal intern - student position (fixed term),legal,renewable energy power generation,5
storage architect,information technology,it services and it consulting,5
offshore data processor,administrative,"technology, information and internet",5
project officer,other,international affairs,5
crew member,management and manufacturing,restaurants,5
we are looking for warehouse workers in lynge,management and manufacturing,staffing and recruiting,5
junior cyber security specialist (remote it internship – cybersecurity),engineering and information technology,"transportation, logistics, supply chain and storage",5
technology manager,engineering,renewable energy semiconductor manufacturing and chemical manufacturing,5
reservation & ticketing agent,,,5
process engineer - component responsible,management and manufacturing,renewable energy semiconductor manufacturing,5
field service engineer - norway,information technology,medical device,5
portfolio analyst,product management and administrative,pharmaceutical manufacturing,5
communications officer,"marketing, public relations, and writing/editing",international affairs,5
unsolicited applications,information technology,staffing and recruiting,5
junior payroll purser,"administrative, accounting/auditing, and finance",travel arrangements,5
deskside support,information technology,it services and it consulting,5
internship engineering,engineering and information technology,"appliances, electrical, and electronics manufacturing",5
warehouse job at bring in greve,management and manufacturing,staffing and recruiting,5
hr administrator,human resources,retail apparel and fashion,5
"o+o graduate in copenhagen, denmark","research, analyst, and information technology",personal care product manufacturing and manufacturing,5
junior qa specialist (remote internship – quality assurance),quality assurance,human resources services,5
project officer,other,international affairs,5
it administrator,information technology,motor vehicle manufacturing,5
senior product manager - germany (remote),product management,"technology, information and internet",5
pricing operations manager,management and manufacturing,"technology, information and internet",5
intern web developer,engineering and information technology,internet publishing,5
experienced cabin crew,management and manufacturing,airlines and aviation,5
executive assistant - energy markets,administrative,"transportation, logistics, supply chain and storage",5
massage therapist,health care provider,human resources services,5
data and economic analysis intern,information technology,international affairs,5
can't find a specific job advertised? send your cv and join our danish talent pool!,other,"technology, information and internet",5
digital graduate,"design, art/creative, and information technology",food and beverage services,5
assistant store manager,sales and business development,retail apparel and fashion,5
hr advisor,human resources,retail apparel and fashion,5
two new colleagues for seismic data acquisition to the green transition,business development and sales,research services,5
coo,management and manufacturing,staffing and recruiting,5
ehs officer,management and manufacturing,renewable energy semiconductor manufacturing,5
student assistant for business support in global support functions,other,"technology, information and internet",5
chief technology officer (cto),information technology,staffing and recruiting,5
mechanical engineer,engineering and information technology,automation machinery manufacturing,5
unsolicited application,information technology,spectator sports,5
project assistant (part-time) – dtu skylab,administrative,education administration programs and research services,5
unsolicited applications,information technology,data infrastructure and analytics,5
climate data specialist,information technology,business consulting and services,5
warehouse worker for a global company in brøndby,management and manufacturing,staffing and recruiting,5
analytics engineer intern,information technology,consumer services,5
sign up to our cv database!,information technology,engineering services,5
it-specialist,,,5
it student helper,education and training,hospitals and health care,5
support associate,other,computer and network security,5
head of electrical engineering,engineering and information technology,biotechnology,5
commercial graduate programme - multinational company,management and manufacturing,"technology, information and internet",5
part-time job as a rider in copenhagen!,"general business, management, and business development","transportation, logistics, supply chain and storage",5
sustainability analyst (internship),management,it services and it consulting,5
global unsolicited application,information technology,renewable energy semiconductor manufacturing,5
full-stack developer internship,engineering and information technology,staffing and recruiting,5
sustainability analyst (internship),management,it services and it consulting,5
hotel technician,engineering and information technology,hospitality,5
associate consultant,"consulting, information technology, and sales",software development,5
volunteer team member,management and manufacturing,"technology, information and internet",5
data analyst - copenhagen (in-house),information technology,staffing and recruiting,5
industry 4.0 entrepreneur & ceo at your own start-up (100 % remote) (m/f/d),other,administrative and support services,5
phd positions,"research, analyst, and information technology",research,5
industrial control / automation engineer (dk),engineering,"technology, information and internet",5
it operations manager,information technology,staffing and recruiting,5
general manager,,,5
offshore manager,"engineering, management, and project management",renewable energy semiconductor manufacturing,5
business data engineer,information technology,"technology, information and internet",5
uopfordret ansøgning mercedes-benz cph,other,"motor vehicle manufacturing, wholesale, and financial services",5
nautical superintendent - rohde nielsen,management and manufacturing,maritime transportation,5
unsolicited application,information technology,staffing and recruiting,5
growth marketing engineer,marketing,"technology, information and internet",5
consultant / trainer - remote opportunity,"consulting, information technology, and sales",staffing and recruiting,5
head of electrical engineering,engineering and information technology,biotechnology,5
people operations director,management and manufacturing,staffing and recruiting,5
learning and business development consultant,sales and business development,software development,5
quality inspector,quality assurance,aviation and aerospace component manufacturing,5
junior network engineer (remote internship – it),information technology,human resources services,5
bioplastics ceo at your own start-up (100 % remote) (m/f/d),other,administrative and support services,5
unsolicited applications,information technology,"technology, information and internet",5
head of data science,management and strategy/planning,it services and it consulting and financial services,5
compliance graduate programme - multinational company,legal,"technology, information and internet",5
data science intern,engineering and information technology,staffing and recruiting,5
ux writer,information technology,"technology, information and internet",5
electrical designer for machine builder,engineering,industrial automation,5
are you the new support associate for one of the largest international shipping companies? then read along!,"administrative, consulting, and customer service",international trade and development,5
community manager,marketing and sales,software development,5
data center engineer,,,5
sustainability management intern,education and training,"technology, information and internet",5
senior software engineer - full stack - remote or in-house,engineering,"technology, information and internet",5
we are looking for talented architectural interns to join our office in copenhagen from spring semester 2024,design,architecture and planning,5
"senior backend engineer, financial services (copenhagen)",engineering,"technology, information and internet",5
trainee,other,business consulting and services,5
financial controller | nordics,accounting/auditing and finance,pharmaceutical manufacturing,5
unlimited business potential | open your sports franchise,business development and general business,spectator sports and events services,5
technical project manager,engineering and project management,biotechnology research,5
guest service officer,management,travel arrangements and hospitality,5
open application - copenhagen,information technology,staffing and recruiting,5
technical draftsman for mechanical constructions,"design, art/creative, and information technology",industrial machinery manufacturing,5
freelance data center engineer,"information technology, engineering, and project management","it services and it consulting, computer and network security, and technology, information and internet",5
web graphic designer,"design, art/creative, and information technology",e-learning providers and education administration programs,5
software developer intern,engineering and information technology,"mechanical or industrial engineering, environmental services, and information technology & services",5
senior chemical expert,management and manufacturing,renewable energy semiconductor manufacturing,5
bi consultant,information technology,retail furniture and home furnishings,5
it graduate programme - multinational company,information technology,"technology, information and internet",5
azure devops engineer,engineering and information technology,"mechanical or industrial engineering, environmental services, and information technology & services",5
electronics technician,,,5
online data analyst,"analyst, information technology, and other",it services and it consulting,5
microsoft dynamics customer engagement technical lead,information technology,"it services and it consulting, information services, and software development",5
unsolicited job application - dk internships,information technology,machinery manufacturing,5
software quality control lead,quality assurance,renewable energy semiconductor manufacturing,5
field services engineer,"customer service, production, and engineering","renewable energy semiconductor manufacturing, oil and gas, and utilities",5
automation engineer,"engineering, project management, and production","appliances, electrical, and electronics manufacturing, renewable energy semiconductor manufacturing, and industrial machinery manufacturing",5
"instructional designer (senior/mid-level, project based, remote)",education and training,"technology, information and internet",5
automation engineers / senior engineers – pharma,engineering and information technology,"appliances, electrical, and electronics manufacturing",5
"technician, parts handling",management and manufacturing,hospitals and health care,5
strategy & innovation lead - data & analytics,business development,it services and it consulting and financial services,5
qa engineer,engineering and information technology,"transportation, logistics, supply chain and storage",5
el -projekt/maintenance responsible with focus on production,management and manufacturing,renewable energy semiconductor manufacturing,5
key account manager (copenhagen),sales and business development,"technology, information and internet",5
software architect,engineering and information technology,"mechanical or industrial engineering, environmental services, and information technology & services",5
skilled c++ developer,engineering and information technology,staffing and recruiting,5
senior frontend developer,engineering and information technology,software development,5
angular developer,engineering and information technology,"mechanical or industrial engineering, environmental services, and information technology & services",5
senior hse specialist,management and manufacturing,renewable energy semiconductor manufacturing,5
student worker – electrical engineering within power-to-x,education and training,"appliances, electrical, and electronics manufacturing",5
barbers wanted: join copenhagen's premier chain,management and manufacturing,human resources services,5
trainee,other,business consulting and services,5
senior .net developer,engineering and information technology,staffing and recruiting,5
senior .net developer for r&d team,engineering and information technology,staffing and recruiting,5
maskinmester,,,5
business opportunity in the sports industry,"business development, general business, and management","spectator sports, recreational facilities, and wellness and fitness services",5
casting - team lead,"design, art/creative, and information technology",renewable energy semiconductor manufacturing,5
coach,customer service,retail,5
embedded software developer c/c++,engineering and information technology,computers and electronics manufacturing,5
agco catalyst graduate program,,,5
8d expert / leader - maternity cover,project management and information technology,renewable energy semiconductor manufacturing,5
netsuite functional consultant,information technology,it services and it consulting,5
student assistant for an international software company,administrative,it services and it consulting,5
oracle netsuite erp developer,information technology,it services and it consulting,5
scientific issue editor,,,5
brewer,management and manufacturing,food & beverages,5
unsolicited job application - dk office,administrative,machinery manufacturing,5
ux design internship,"design, art/creative, and information technology",staffing and recruiting,5
hairdressers for norway,"design, art/creative, and information technology",human resources services,5
packing assistant,management and manufacturing,"technology, information and internet",5
energy rebel (unsolicited application),other,"technology, information and internet",5
unsolicited application - wavemaker,information technology,"advertising services, market research, and online audio and video media",5
unsolicited applications / simac,information technology,machinery manufacturing,5
r&d scientist - pathology,other,biotechnology research,5
manufacturing support - industrial engineer for carbon,management and manufacturing,renewable energy semiconductor manufacturing,5
embedded software developer,information technology,machinery manufacturing,5
senior system engineer,information technology,industrial machinery manufacturing,5
senior software engineer,engineering and information technology,software development,5
senior mechanical engineer,,,5
analytics engineer intern,information technology,"technology, information and internet",5
weighing supervisor,other,machinery manufacturing,5
administrative services supervisor,"administrative, customer service, and general business",public safety,5
are you looking for work in november and december? earn extra money!,other,staffing and recruiting,5
master thesis in production,education and training,industrial machinery manufacturing,5
data scientist,engineering and information technology,wholesale building materials,5
technical officer (alcohol networks),information technology,international affairs,5
r&d scientist (2 year),other,biotechnology research,5
laboratory scientist for process science,"research, analyst, and information technology",biotechnology research,5
marketing intern,marketing and sales,staffing and recruiting,6
senior backend developer (python),engineering,"technology, information and internet",6
"design internship, bags and accessories","design, art/creative, and information technology",textile manufacturing,6
audio programmer,engineering and information technology,computer games,6
user experience designer,"design, art/creative, and information technology",environmental services,6
technical designer,"design, art/creative, and information technology",computer games,6
audio programmer,engineering and information technology,computer games,6
ux / ui design internship,engineering and information technology,staffing and recruiting,6
grafik designer as our next jedi padawan,"design, art/creative, and information technology",staffing and recruiting,6
c++ programmers,engineering and information technology,computer games,6
producer,,,6
software engineer,engineering and information technology,staffing and recruiting,6
piping and mechanical designer,engineering,"industrial machinery manufacturing, oil and gas, and pharmaceutical manufacturing",6
engineering manager,engineering,"technology, information and internet",6
legal counsel,legal,computer games,6
game designer,"design, art/creative, and information technology",staffing and recruiting,6
ui/ux designer (internship),engineering and information technology,staffing and recruiting,6
senior ux/ui designer,"design, art/creative, and information technology","transportation, logistics, supply chain and storage",6
legal counsel,legal,computer games,6
junior games lab moderator [game intelligence],"marketing, public relations, and writing/editing",computer games,6
digital design internship,"design, art/creative, and information technology",staffing and recruiting,6
network engineer,information technology,"technology, information and internet",6
digital designer,"design, art/creative, and information technology",staffing and recruiting,6
senior technical product manager,product management,"technology, information and internet",6
design intern for circular brand folk copenhagen,"design, art/creative, and information technology",staffing and recruiting,6
senior product manager,product management,"technology, information and internet",6
ui/ux designer (internship),engineering and information technology,staffing and recruiting,6
cinematic artist,"design, art/creative, and information technology",computer games,6
creative director - girls,"design, art/creative, and information technology",manufacturing,7
propulsion ait technician,engineering,defense and space manufacturing and aviation and aerospace component manufacturing,7
it security specialist,information technology,it services and it consulting,7
"manager, product management, open banking europe (experience design team)",product management and marketing,"it services and it consulting, technology, information and internet, and financial services",7
it security consultant,information technology,it services and it consulting,7
business transformation manager,business development and sales,manufacturing,7
head of performance & quality management,manufacturing and engineering,manufacturing,7
responsible engagement manager,sales,manufacturing,7
safety architect,"design, art/creative, and information technology",staffing and recruiting,7
government & public affairs specialist,legal,manufacturing,7
it security engineer,information technology,staffing and recruiting,7
propulsion systems engineer,engineering and information technology,internet publishing,7
it security consultant,information technology,it services and it consulting,7
"director, market operations",quality assurance,manufacturing,7
it security engineer,information technology,staffing and recruiting,7
it security consultant,information technology,it services and it consulting,7
azure engineer,engineering and information technology,staffing and recruiting,7
vp workplace solutions & operations,information technology,manufacturing,7
executive assistant,administrative,manufacturing,7
finance manager,finance and sales,manufacturing,7
"vice president strategy and operations, c&i europe",business development and sales,"it services and it consulting, technology, information and internet, and financial services",7
azure engineer,engineering and information technology,staffing and recruiting,7
"research manager, global insights",sales,manufacturing,7
hardware technician,information technology,internet publishing,7
it security consultant,information technology,it services and it consulting,7
it security consultant,information technology,it services and it consulting,7
it security specialist,information technology,it services and it consulting,7
"performance manager, analytics & insights","research, analyst, and information technology",manufacturing,7
"digital transformation manager, ifm",business development and sales,manufacturing,7
propulsion ait technician,engineering and information technology,internet publishing,7
it security consultant,information technology,it services and it consulting,7
it security engineer,information technology,staffing and recruiting,7
digital product design lead,"design, art/creative, and information technology",manufacturing,7
community engagement lead,sales,manufacturing,7
test site technician,engineering and information technology,internet publishing,7
cnc engineer,engineering and information technology,internet publishing,7
it security engineer,information technology,staffing and recruiting,7
communications intern,"marketing, public relations, and writing/editing",staffing and recruiting,8
"student worker, marketing",education and training,staffing and recruiting,8
(remote+danish) bæredygtighed gennem markedsføring.,other,staffing and recruiting,8
graphical design intern,,,8
nordic digital education manager - professional products division - copenhagen,health care provider,personal care product manufacturing and manufacturing,8
marketing & event coordinator,management and manufacturing,utilities,8
marketing project manager for an ecommerce d2c company,project management and information technology,"technology, information and internet",8
student assistant for marketing and communication,education and training,"mechanical or industrial engineering, environmental services, and information technology & services",8
creative lead,marketing,"technology, information and internet",8
demand generation marketer,marketing,"technology, information and internet",8
lead paid social media specialist (m/f/d),marketing and sales,apparel & fashion,8
brand communication leader,"other, information technology, and management","appliances, electrical, and electronics manufacturing",8
fintech marketing associate,marketing and sales,software development,8
german content creator,,,8
video and photography intern in fast growing scale-up,"marketing, public relations, and writing/editing",staffing and recruiting,8
internship in business area marketing,education and training,"appliances, electrical, and electronics manufacturing",8
b2b ecommerce business manager - professional products division - copenhagen,product management and marketing,personal care product manufacturing and manufacturing,8
"internship: pr, communication & social media","marketing, public relations, and writing/editing",software development,8
content specialist,"marketing, public relations, and writing/editing",software development,8
graphic design intern in marketing,"design, art/creative, and information technology","mechanical or industrial engineering, environmental services, and information technology & services",8
marketing coordinator,marketing and sales,staffing and recruiting,8
creative director,"design, art/creative, and information technology","technology, information and internet",8
copywriter,,,8
junior marketing specialist (remote internship - marketer),marketing and sales,"transportation, logistics, supply chain and storage",8
production artist - ecommerce and paid social media marketing,"design, art/creative, and information technology",retail apparel and fashion,8
social media specialist,marketing and sales,"technology, information and internet",8
field marketing manager,marketing and sales,computer and network security,8
junior graphic designer (remote internship – graphic design),"design, art/creative, and information technology",human resources services,8
digital design internship in fast growing scale-up,"design, art/creative, and information technology",staffing and recruiting,8
social media specialist,,,8
head of growth,marketing and sales,public relations and communications services,8
head of growth,marketing and sales,public relations and communications services,8
nordic talent acquisition graduate - copenhagen,human resources,personal care product manufacturing and manufacturing,8
"senior director, integrated digital and campaigns",marketing and sales,software development,8
ecommerce internship,management and manufacturing,textile manufacturing,8
digital design intern - copenhagen 👩🎨👨🏾💻,"design, art/creative, and information technology",staffing and recruiting,8
"revenue marketing specialist, eu & uk",accounting/auditing and finance,software development,8
internship with the media team at findus/nomad foods,education and training,manufacturing,8
brand manager,marketing and sales,retail luxury goods and jewelry,8
communications intern,,,8
marketing intern,marketing and sales,staffing and recruiting,8
technical content specialist,marketing,"technology, information and internet",8
creative lead,marketing and sales,staffing and recruiting,8
communication & marketing supporter | student worker (15-20 hrs.),other,staffing and recruiting,8
earned/owned media manager for mac cosmetics nordics,marketing,personal care product manufacturing and manufacturing,8
brand communication leader,marketing,computers and electronics manufacturing,8
content graduate - consumer products division - copenhagen,"marketing, public relations, and writing/editing",personal care product manufacturing and manufacturing,8
affiliate marketing manager based in copenhagen or remote,marketing and sales,advertising services,8
junior pr specialist (remote internship – public relations),"marketing, public relations, and writing/editing",human resources services,8
content strategist,"marketing, public relations, and writing/editing",staffing and recruiting,8
event specialist,management and manufacturing,staffing and recruiting,8
communications and event manager,management and manufacturing,medical equipment manufacturing,8
digital marketing & pr intern,marketing and sales,staffing and recruiting,8
email marketing specialist,marketing,"technology, information and internet",8
digital marketing intern,marketing and sales,staffing and recruiting,8
some,other,staffing and recruiting,8
nordic digital education manager - professional products division - copenhagen,health care provider,personal care product manufacturing and manufacturing,8
creative marketing and production intern,marketing and sales,staffing and recruiting,8
junior graphic designer (remote internship – graphic design),"design, art/creative, and information technology",human resources services,8
multimedia designer,"design, art/creative, and information technology",staffing and recruiting,8
join our group (unsolicited application – groupm – copenhagen),information technology,"advertising services, market research, and online audio and video media",8
creative futures is looking for interns,marketing and sales,advertising services,8
marketing content manager,marketing and sales,"technology, information and internet",8
internship - graphic designer,"design, art/creative, and information technology",staffing and recruiting,8
social media intern,marketing and sales,staffing and recruiting,8
earned/owned media manager & team lead,marketing,personal care product manufacturing and manufacturing,8
creative futures is looking for interns,marketing and sales,"advertising services, market research, and online audio and video media",8
digital marketing and social media intern,marketing and sales,staffing and recruiting,8
digital marketing intern,marketing and sales,staffing and recruiting,8
we are looking for future talents for groupm – internship starting january 2024,other,"advertising services, market research, and online audio and video media",8
we are looking for future talents for groupm – internship starting january 2024,other,advertising services,8
art director – excellent benefits package,"design, art/creative, and information technology",staffing and recruiting,8
social media content creator,"marketing, public relations, and writing/editing",staffing and recruiting,8
art direction,"design, art/creative, and information technology",staffing and recruiting,8
marketing student assistant,education and training,retail apparel and fashion,8
digital marketing designer,"design, art/creative, and information technology",staffing and recruiting,8
graphic designer intern,"design, art/creative, and information technology",staffing and recruiting,8
search engine marketing (sem) specialist,marketing and sales,"technology, information and internet",8
"associate art director, the barn - aarhus","design, art/creative, and information technology","dairy product manufacturing, food and beverage manufacturing, and manufacturing",8
visual content creator,"marketing, public relations, and writing/editing",staffing and recruiting,8
art director,"design, art/creative, and information technology",staffing and recruiting,8
digital marketing intern,marketing and sales,staffing and recruiting,8
ui/ux designer (internship),,,8
earned/owned media manager for mac cosmetics nordics,marketing and sales,personal care product manufacturing,8
marketing assistant intern,"marketing, advertising, and strategy/planning",human resources services and business consulting and services,8
physical product design illustrator,"design, art/creative, and information technology",retail apparel and fashion,8
social media specialist,marketing and sales,automotive,8
we are looking for future talents for groupm – internship starting january 2024,other,advertising services,8
head of pr and marketing – hiring now,"marketing, public relations, and writing/editing",staffing and recruiting,8
social media manager (internship),marketing and sales,staffing and recruiting,8
growth manager,marketing and sales,"technology, information and internet",8
sr. marketing specialist,marketing and sales,embedded software products,8
search marketing manager,marketing and sales,"technology, information and internet",8
digital design internship,"design, art/creative, and information technology",staffing and recruiting,8
we are looking for future talents for groupm – internship starting january 2024,other,"advertising services, market research, and online audio and video media",8
performance marketing specialist,marketing and sales,"technology, information and internet",8
creative intern,marketing and sales,staffing and recruiting,8
prototype and test wind turbine manager,engineering,renewable energy semiconductor manufacturing,9
software engineer,information technology,renewable energy semiconductor manufacturing,9
agile portfolio specialist,finance and sales,staffing and recruiting,9
technical product owner / solution architect - service domain,product management and marketing,staffing and recruiting,9
senior director global construction procurement,purchasing and supply chain,renewable energy semiconductor manufacturing,9
software engineer,information technology,renewable energy semiconductor manufacturing,9
npi coordinator,other,renewable energy semiconductor manufacturing,9
specialist - mechanical structures,engineering,renewable energy semiconductor manufacturing,9
platform engineer,engineering,renewable energy semiconductor manufacturing,9
specialist assembly tooling,management and manufacturing,staffing and recruiting,9
offshore service operations specialist,information technology,renewable energy semiconductor manufacturing,9
construction cost analyst,finance and sales,renewable energy semiconductor manufacturing,9
it apprentices,information technology,renewable energy semiconductor manufacturing,9
specialist - future sensor technologies,engineering,renewable energy semiconductor manufacturing,9
specialist - nacelle cover,other,staffing and recruiting,9
supply chain specialist,management and manufacturing,renewable energy semiconductor manufacturing,9
student worker,education and training,renewable energy semiconductor manufacturing,9
global strategic purchaser,purchasing and supply chain,staffing and recruiting,9
technical product owner / solution architect - service domain,information technology,renewable energy semiconductor manufacturing,9
"lead engineer, cyber security",engineering,renewable energy semiconductor manufacturing,9
"agile coach (aarhus n, region central jutland, dk)",engineering and information technology,"renewable energy semiconductor manufacturing, environmental services, and oil and gas",9
senior developer,information technology,renewable energy semiconductor manufacturing,9
lead test supervisor,management and manufacturing,renewable energy semiconductor manufacturing,9
offshore subject matter expert,engineering,renewable energy semiconductor manufacturing,9
"team leader, server & data",engineering,renewable energy semiconductor manufacturing,9
